ncit_code,preferred_term,parent_code,parent_name,depth,synonyms,definition
C120344,Verbal Paired Associates I Subtest (WMS-IV),C20993,Research or Clinical Assessment Tool,1,Verbal Paired Associates I|WMS-IV Verbal Paired Associates I,"A subtest of the Wechsler Memory Scale, 4th Edition that evaluates verbal memory for associated word pairs. After 10 or 14 word pairs are read to the subject, the first word of each pair is read, and the subject is asked to provide the corresponding word."
C120345,Verbal Paired Associates II Subtest (WMS-IV),C20993,Research or Clinical Assessment Tool,1,Verbal Paired Associates II|WMS-IV Verbal Paired Associates II,"A subtest of the Wechsler Memory Scale, 4th Edition that evaluates verbal memory for associated word pairs. 10 or 14 word pairs are read to the subject. After a delay, the first word of each pair is read, and the subject is asked to provide the corresponding word."
C121473,VeriStrat,C20993,Research or Clinical Assessment Tool,1,,A prognostic scoring system designed to predict non-small-cell lung cancer patients who will benefit from treatment with EGFR inhibitor therapy. A serum or plasma sample is obtained from a patient and is subjected to matrix-assisted laser desorption/ionization time-of-flight (MALDI-TOF) mass spectrometry. An algorithm is applied to the absorption peaks obtained and translated into a score of good or poor.
C97757,Vienna Rectoscopy Score,C20993,Research or Clinical Assessment Tool,1,VRS,"A scoring system for describing rectal damage following external beam radiation therapy. Using flexible rectosigmoidoscopy, rectal surfaces are scored for the presence and severity of congested mucosa, telangiectasia, stricture, ulceration, and necrosis."
C120348,Visual Reproduction I Subtest (WMS-IV),C20993,Research or Clinical Assessment Tool,1,Visual Reproduction I|WMS-IV Visual Reproduction I,"A subtest of the Wechsler Memory Scale, 4th Edition that assesses memory for nonverbal visual stimuli. A series of five designs is shown, one at a time, for 10 seconds each. After each design is presented, the subject is asked to draw the design from memory."
C120349,Visual Reproduction II Subtest (WMS-IV),C20993,Research or Clinical Assessment Tool,1,Visual Reproduction II|WMS-IV Visual Reproduction II,"A subtest of the Wechsler Memory Scale, 4th Edition that assesses long-term visual-spatial memory for nonverbal visual stimuli. A series of five designs is shown, one at a time, for 10 seconds each. After a delay, the subject is asked to draw the designs shown in any order. Then, the subject is asked to choose which of six designs on a page matches the original design shown."
C205215,WAIS-IV Subtest,C20993,Research or Clinical Assessment Tool,1,,"A subtest of the Wechsler Adult Intelligence Scale, fourth edition."
C205256,WISC-V Subtest,C20993,Research or Clinical Assessment Tool,1,,"A subtest of the Wechsler Intelligence Scale for Children, fifth edition."
C205232,WPPSI-IV Subtest,C20993,Research or Clinical Assessment Tool,1,,"A subset of the Wechsler Preschool and Primary Scale of Intelligence, fourth edition."
C62716,"Wide Range Achievement Test, 3rd Edition",C20993,Research or Clinical Assessment Tool,1,"WRAT-3|Wide Range Achievement Test, Revision 3|Wide Range Achievement Test-3","Measures basic skills in reading, arithmetic, and spelling. It is a screening test that can be administered to determine if a more comprehensive achievement test is needed."
C179896,Wisconsin Predicting Patients' Relapse,C20993,Research or Clinical Assessment Tool,1,WI PREPARE|Wisconsin Predicting Patient Relapse Measure|Wisconsin Predicting Patient Relapse Survey|Wisconsin Predicting Patients' Relapse Questionnaire,"A brief, seven-item questionnaire that considers physical dependence, environmental factors, and individual difference characteristics in predicting a patient's relapse from smoking cessation."
C92464,Word Decoding,C20993,Research or Clinical Assessment Tool,1,,A test that assesses a respondent's ability to pronounce words accurately. It tests a respondent's word reading accuracy and fluency.
C120333,Word Pairs Delayed,C20993,Research or Clinical Assessment Tool,1,,A component of the Children's Memory Scale. A child is read a list of paired words and then asked to say the second word after being told the first. The list is presented three times in this fashion. After about 30 minutes the child is given the cued recall trial again.
C120334,Word Pairs Delayed Recognition,C20993,Research or Clinical Assessment Tool,1,,A component of the Children's Memory Scale. A child is read a list of paired words and then asked to say the second word after being told the first. The list is presented three times in this fashion. After about 30 minutes the child is asked whether or not various pairs were on the list.
C120332,Word Pairs Immediate,C20993,Research or Clinical Assessment Tool,1,,A component of the Children's Memory Scale. A child is read a list of paired words and then asked to say the second word after being told the first. The list is presented three times in this fashion. After the third list/cued recall trial the child is asked to tell the examiner as many word pairs as they can with no cues.
C120331,Word Pairs Learning,C20993,Research or Clinical Assessment Tool,1,,A component of the Children's Memory Scale. A child is read a list of paired words and then asked to say the second word after being told the first. The list is presented three times in this fashion.
C121203,Work Skills,C20993,Research or Clinical Assessment Tool,1,,An assessment of the Adaptive Behavior Assessment System where skills needed for successful functioning and holding a job in a work setting are evaluated.
C126882,Zoo Locations Subtest,C20993,Research or Clinical Assessment Tool,1,,"A subtest of the Wechsler Preschool and Primary Scale of Intelligence, that measures visual as well as spatial dimension skills. Working within a specified time limit, the child views pictures of animals placed on a zoo layout and them must place the proper animal in the correct location."
C176986,askMUSIC,C20993,Research or Clinical Assessment Tool,1,,"A web-based digital tool that uses clinicopathologic and demographic prostate cancer registry data, such as age, weight, co-morbidities, PSA level, Gleason score, number of positive core biopsies, total biopsy cores sampled, and clinical stage, to generate treatment options based on outcomes of patients with similar characteristics."
C185623,qPET Score,C20993,Research or Clinical Assessment Tool,1,QPET_SCORE,A methodology that provides semi-automatic quantification for interim FDG-PET response in lymphoma. It extends the ordinal Deauville score to a continuous scale.
