ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C106678,GDS Questionnaire Question,GDS01TC,31,True,,A question associated with the GDS questionnaire.,,Intellectual Product,C3827306,,
C163401,GMSS Version Type 1 Diabetes Questionnaire Question,GMSS01TC,20,True,,A question associated with the GMSS Version Type 1 Diabetes questionnaire.,,Intellectual Product,,CL976669,
C115417,GOSE Questionnaire Question,GOSE1TC,23,True,,A question associated with the GOSE questionnaire.,,Intellectual Product,C3899048,,
C106679,Geriatric Depression Scale Short Form Questionnaire Question,GDS02TC,17,True,GDS-SF Questionnaire Question,A question associated with the Geriatric Depression Scale Short Form questionnaire.,,Intellectual Product,C3830004,,
C103495,HADS Questionnaire Question,HADS01TC,16,True,,A question associated with the HADS questionnaire.,,Intellectual Product,C3641310,,
C115410,HAI Functional Test Question,HAI01TC,1,True,,A question associated with the HAI functional test.,,Intellectual Product,C3899002,,
C130284,HAM-D6 Clinician Version Clinical Classification Question,HAMD4TC,7,True,,A question associated with the HAM-D6 Clinician Version clinical classification.,,Intellectual Product,,CL513131,
C130292,HAM-D6 Self-Report Version Questionnaire Question,HAMDS1TC,6,True,,A question associated with the HAM-D6 Self-Report Version questionnaire.,,Intellectual Product,,CL513138,
C101876,HAMA Questionnaire Question,HAMA1TC,15,True,,A question associated with the HAMA questionnaire.,,Intellectual Product,C3640282,,
C101877,HAMD 21 Questionnaire Question,HAMD2TC,24,True,,A question associated with the HAMD 21 questionnaire.,,Intellectual Product,C3642477,,
C130285,HAMD 24 Clinical Classification Question,HAMD3TC,25,True,,A question associated with the HAMD 24 clinical classification.,,Intellectual Product,,CL513164,
C100127,HAMD-17 Questionnaire Question,HAMD1TC,20,True,,A question associated with the HAMD-17 questionnaire.,,Intellectual Product,C3639116,,
C106680,HAQ-DI Questionnaire Question,HAQ01TC,46,True,,A question associated with the HAQ-DI questionnaire.,,Intellectual Product,C3829852,,
C132529,HAQ-DI Without VAS Questionnaire Question,HAQ02TC,45,True,,A question associated with the HAQ-DI without VAS questionnaire.,,Intellectual Product,,CL519902,
C138262,HAS-BLED Clinical Classification Question,HSB01TC,7,True,,A question associated with the HAS-BLED clinical classification.,,Intellectual Product,,CL525757,
C163402,HCS Questionnaire Question,HCS01TC,10,True,,A question associated with the HCS questionnaire.,,Intellectual Product,,CL976668,
C166193,HD-CAB Functional Test Question,HDCAB1TC,7,True,,A question associated with the HD-CAB functional test.,,Intellectual Product,,CL971455,
C190943,Harvey-Bradshaw Index Clinical Classification Question,HBI01TC,13,True,,A question associated with the Harvey-Bradshaw Index clinical classification.,,Intellectual Product,,CL1799546,
C174053,IBDQ Questionnaire Question,IBDQ01TC,32,True,,A question associated with the IBDQ questionnaire.,,Intellectual Product,,CL1407949,
C130286,IDS-C Clinical Classification Question,IDSC1TC,33,True,,A question associated with the IDS-C clinical classification.,,Intellectual Product,,CL514169,
C130293,IDS-SR Questionnaire Question,IDSR1TC,33,True,,A question associated with the IDS-SR questionnaire.,,Intellectual Product,,CL514170,
C103496,IIEF Questionnaire Question,IIEF01TC,15,True,,A question associated with the IIEF questionnaire.,,Intellectual Product,C3641311,,
C141681,IPAQ Long Last 7 Days Self-Administered Format Version Questionnaire Question,IPAQ03TC,53,True,,A question associated with the IPAQ Long Last 7 Days Self-Administered Format Version questionnaire.,,Intellectual Product,,CL539777,
C141682,IPAQ Long Last 7 Days Telephone Format Version Questionnaire Question,IPAQ02TC,69,True,,A question associated with the IPAQ Long Last 7 Days Telephone Format Version questionnaire.,,Intellectual Product,,CL539776,
C141680,IPAQ Short Last 7 Days Self-administered Format Version Questionnaire Question,IPAQ04TC,18,True,,A question associated with the IPAQ Short Last 7 Days Self-administered Format Version questionnaire.,,Intellectual Product,,CL539778,
C141683,IPAQ Short Last 7 Days Telephone Format Version Questionnaire Question,IPAQ01TC,19,True,,A question associated with the IPAQ Short Last 7 Days Telephone Format Version questionnaire.,,Intellectual Product,,CL539775,
C183552,IPSS Questionnaire Question,IPS01TC,9,True,,A question associated with the IPSS questionnaire.,,Intellectual Product,,CL1771916,
C113868,IVIS Questionnaire Question,IVIS01TC,5,True,,A question associated with the IVIS questionnaire.,,Intellectual Product,C3827294,,
C170533,KDIGO-AKI Clinical Classification Question,KDIGO1TC,1,True,,A question associated with the KDIGO-AKI clinical classification.,,Intellectual Product,,CL1382959,
C130288,KDPI Clinical Classification Question,KDPI01TC,1,True,,A question associated with the KDPI clinical classification.,,Intellectual Product,,CL513962,
C112460,KFSS Questionnaire Question,KFSS1TC,11,True,,A question associated with the KFSS questionnaire.,,Intellectual Product,C3829392,,
C100116,KPS Scale Questionnaire Question,KPSS01TC,1,True,,A question associated with the KPS Scale questionnaire.,,Intellectual Product,C3639106,,
C193279,Kidney Disease and Quality of Life-36 Version 1 Questionnaire Question,KDQ1TC,37,True,,A question associated with the Kidney Disease and Quality of Life-36 Version 1 questionnaire.,,Intellectual Product,,CL1913238,
C135707,LEC-5 Standard Version Questionnaire Question,LEC01TC,102,True,,A question associated with the LEC-5 Standard Version questionnaire.,,Intellectual Product,,CL523026,
C138263,LPSS Clinical Classification Question,LPPSS1TC,1,True,,A question associated with the LPSS clinical classification.,,Intellectual Product,,CL525756,
C100117,MDS-UPDRS Questionnaire Question,UPD2TC,72,True,,A question associated with the MDS-UPDRS questionnaire.,,Intellectual Product,C3639107,,
C120997,MELD Clinical Classification Question,MELD01TC,1,True,,A question associated with the MELD clinical classification.,,Intellectual Product,C4053749,,
C113869,MFIS Questionnaire Question,MFIS01TC,21,True,,A question associated with the MFIS questionnaire.,,Intellectual Product,C3829089,,
C112461,MHIS-NACC Questionnaire Question,MHIS01TC,9,True,,A question associated with the MHIS-NACC questionnaire.,,Intellectual Product,C3829081,,
C106681,MMRC Questionnaire Question,MMRC01TC,1,True,,A question associated with the MMRC questionnaire.,,Intellectual Product,C3828999,,
C100118,MMSE Functional Test Question,MMS1TC,46,True,,A question associated with the MMSE functional test.,,Intellectual Product,C3639108,,
C150794,MMSE-2 Standard Version Functional Test Question,MMS2TC,33,True,,A question associated with the MMSE-2 functional test.,,Intellectual Product,,CL552653,
C100119,MNSI Questionnaire Question,MNSI1TC,37,True,,A question associated with the MNSI questionnaire.,,Intellectual Product,C3639109,,
C115418,MPAI-4 Questionnaire Question,MPAI1TC,44,True,,A question associated with the MPAI-4 questionnaire.,,Intellectual Product,C3898503,,
C111357,MRS Clinical Classification Question,MRS01TC,1,True,,A question associated with the MRS clinical classification.,,Intellectual Product,C3828943,,
C113870,MSQOL-54 Questionnaire Question,MSQL1TC,55,True,,A question associated with the MSQOL-54 questionnaire.,,Intellectual Product,C3828894,,
C202151,Minnesota Tobacco Withdrawal Scale-Revised Clinical Classification Question,MTWSR1TC,16,True,,A question associated with the Minnesota Tobacco Withdrawal Scale-Revised clinical classification.,,Intellectual Product,,CL1921194,
C190945,Modified Van Assche Index Clinical Classification Question,MVAI1TC,6,True,,A question associated with the Modified Van Assche Index clinical classification.,,Intellectual Product,,CL1799548,
C190944,Montreal Classification for Crohn's Disease Clinical Classification Question,MCHR01TC,3,True,,A question associated with the Montreal Classification for Crohn's Disease clinical classification.,,Intellectual Product,,CL1799547,
C129101,NCCN-FACT FBLSI-18 Version 2 Questionnaire Question,FAC028TC,18,True,,A question associated with the NCCN-FACT FBLSI-18 Version 2 questionnaire.,,Intellectual Product,,CL512184,
C150803,NCCN-FACT FBRSI-24 Version 2 Questionnaire Question,FAC030TC,24,True,,A question associated with the NCCN-FACT FBRSI-24 Version 2 questionnaire.,,Intellectual Product,,CL552662,
C150804,NCCN-FACT FHNSI-22 Version 2 Questionnaire Question,FAC036TC,22,True,,A question associated with the NCCN-FACT FHNSI-22 Version 2 questionnaire.,,Intellectual Product,,CL552663,
C129100,NCCN-FACT FKSI-19 Version 2 Questionnaire Question,FAC042TC,19,True,,A question associated with the NCCN-FACT FKSI-19 Version 2 questionnaire.,,Intellectual Product,,CL512204,
C129104,NCCN-FACT FOSI-18 Version 2 Questionnaire Question,FAC050TC,18,True,,A question associated with the NCCN-FACT FOSI-18 Version 2 questionnaire.,,Intellectual Product,,CL512223,
C127364,NCCN-FACT-FPSI 17 Version 2 Questionnaire Question,FAC052TC,17,True,,A question associated with the NCCN-FACT-FPSI 17 Version 2 questionnaire.,,Intellectual Product,,CL509499,
C171356,NEWS2 Clinical Classification Question,NEWS1TC,12,True,,A question associated with the NEWS2 clinical classification.,,Intellectual Product,,CL1405480,
C225078,NFBSI-16 Version 2 Questionnaire Question,FAC032TC,16,True,,A question associated with the Network/Functional Assessment of Cancer Therapy-Breast Cancer Symptom Index-16 Version 2 (NFBSI-16 V2) questionnaire.,,Intellectual Product,,,
C119089,NHLBI CAD Grade Clinical Classification Question,CADG01TC,1,True,,A question associated with the NHLBI CAD Grade clinical classification.,,Intellectual Product,C3898203,,
C115411,NHPT Functional Test Question,NHPT01TC,2,True,,A question associated with the NHPT functional test.,,Intellectual Product,C3898194,,
C100120,NPI Questionnaire Question,NPI1TC,153,True,,A question associated with the NPI questionnaire.,,Intellectual Product,C3639110,,
C103497,NPS Questionnaire Question,NPS01TC,15,True,,A question associated with the NPS questionnaire.,,Intellectual Product,C3642468,,
C120998,NSA-16 Clinical Classification Question,NSA01TC,19,True,,A question associated with the NSA-16 clinical classification.,,Intellectual Product,C4054427,,
C132526,NSAA Clinical Classification Question,NSAA1TC,20,True,,A question associated with the NSAA clinical classification.,,Intellectual Product,,CL520112,
C154462,NSCLC-SAQ Version 1.0 Questionnaire Question,NSCLC1TC,13,True,,A question associated with the NSCLC-SAQ Version 1.0 questionnaire.,,Intellectual Product,,CL555390,
C193281,National Early Warning Score 2 Clinical Classification Question,,2,False,,A question associated with the National Early Warning Score 2 clinical classification.,,Intellectual Product,,CL1913236,
C208402,National Youth Tobacco Survey 2022 Version Questionnaire Question,NY1TC,671,True,,A question associated with the National Youth Tobacco Survey 2022 Version questionnaire.,,Intellectual Product,,CL1935183,
C103498,OAB-q Questionnaire Question,OABQ01TC,33,True,,A question associated with the OAB-q questionnaire.,,Intellectual Product,C3641312,,
C103499,OAB-q Short Form Questionnaire Question,OABQ02TC,19,True,,A question associated with the OAB-q Short Form questionnaire.,,Intellectual Product,C3641313,,
C103500,ODI v2.1a Questionnaire Question,ODI01TC,11,True,,A question associated with the ODI v2.1a questionnaire.,,Intellectual Product,C3641314,,
C199505,Observer Global Impression Generic Modification Version Questionnaire Question,OGI01TC,3,True,,A question associated with the Observer Global Impression Generic Modification Version questionnaire.,,Intellectual Product,,CL1906868,
C124698,PANSS Clinical Classification Question,PANSS1TC,30,True,,A question associated with the PANSS clinical classification.,,Intellectual Product,C4086712,,
C163403,PARENT-DDS Questionnaire Question,DDS02TC,35,True,,A question associated with the PARENT-DDS questionnaire.,,Intellectual Product,,CL976667,
C163404,PARTNER-DDS Questionnaire Question,DDS03TC,36,True,,A question associated with the PARTNER-DDS questionnaire.,,Intellectual Product,,CL976666,
C115412,PASAT Functional Test Question,PASAT1TC,7,True,,A question associated with the PASAT functional test.,,Intellectual Product,C3898053,,
C135701,PASI Clinical Classification Question,,29,False,,A question associated with the PASI clinical classification.,,Intellectual Product,,CL523020,
C179958,PASI Feldman Version Clinical Classification Question,PASI02TC,29,True,,A question associated with the PASI Feldman Version clinical classification.,,Intellectual Product,,CL1662620,
C135708,PCL-5 Questionnaire Question,PCL01TC,22,True,,A question associated with the PCL-5 questionnaire.,,Intellectual Product,,CL523027,
C112462,PDDS Questionnaire Question,PDDS01TC,1,True,,A question associated with the PDDS questionnaire.,,Intellectual Product,C3828629,,
C100121,PDQUALIF Questionnaire Question,,33,False,,A question associated with the PDQUALIF questionnaire.,,Intellectual Product,C3639111,,
C135706,PGI Generic Modification Version Questionnaire Question,PGI01TC,4,True,,A question associated with the PGI Generic Modification Version questionnaire.,,Intellectual Product,,CL523025,
C125754,PHQ Screener Version Questionnaire Question,PHQ03TC,59,True,,A question associated with the PHQ Screener Version questionnaire.,,Intellectual Product,,CL504409,
C103502,PHQ-15 Questionnaire Question,PHQ02TC,16,True,,A question associated with the PHQ-15 questionnaire.,,Intellectual Product,C3641316,,
C157728,PHQ-2 Questionnaire Question,PHQ04TC,2,True,,A question associated with the PHQ-2 questionnaire.,,Intellectual Product,,CL937327,
C103501,PHQ-9 Questionnaire Question,PHQ01TC,11,True,,A question associated with the PHQ-9 questionnaire.,,Intellectual Product,C3641315,,
C105143,PI Questionnaire Question,PI01TC,6,True,,A question associated with the PI version 1 questionnaire.,,Intellectual Product,C3641939,,
C135710,PODCI Adolescent Parent-Reported Version Questionnaire Question,PODCI2TC,92,True,,A question associated with the PODCI Adolescent Parent-Reported Version questionnaire.,,Intellectual Product,,CL523029,
C135711,PODCI Adolescent Self-Reported Version Questionnaire Question,PODCI3TC,89,True,,A question associated with the PODCI Adolescent Self-Reported Version questionnaire.,,Intellectual Product,,CL523030,
C135709,PODCI Pediatric Parent-Reported Version Questionnaire Question,PODCI1TC,92,True,,A question associated with the PODCI Pediatric Parent-Reported Version questionnaire.,,Intellectual Product,,CL523028,
C105144,PR Questionnaire Question,PR01TC,11,True,,A question associated with the PR version 1 questionnaire.,,Intellectual Product,C3641940,,
C179955,PRO-CTCAE V1.0 Questionnaire Question,PT01TC,145,True,,A question associated with the PRO-CTCAE V1.0 Version Date 4/26/2020 questionnaire.,,Intellectual Product,,CL1662619,
C202150,PROMIS Item Bank Version 1.0 Fatigue Short Form 7a Questionnaire Question,PA136TC,7,True,,A question associated with the PROMIS Item Bank Version 1.0 Fatigue Short Form 7a questionnaire.,,Intellectual Product,,CL1921197,
C202149,PROMIS Item Bank Version 2.0 Cognitive Function Short Form 6a Questionnaire Question,PA016TC,6,True,,A question associated with the PROMIS Item Bank Version 2.0 Cognitive Function Short Form 6a questionnaire.,,Intellectual Product,,CL1921196,
C208400,PROMIS Item Bank v1.0 - Sleep Disturbance - Short Form 4a Questionnaire Question,PA215TC,4,True,,A question associated with the PROMIS Item Bank v1.0 - Sleep Disturbance - Short Form 4a questionnaire.,,Intellectual Product,,CL1935181,
C208399,PROMIS Item Bank v2.0 - Cognitive Function - Abilities Subset - Short Form 6a Questionnaire Question,PA020TC,6,True,,A question associated with the PROMIS Item Bank v2.0 - Cognitive Function - Abilities Subset - Short Form 6a questionnaire.,,Intellectual Product,,CL1935180,
C208401,PROMIS-29 Profile Version 2.1 Questionnaire Question,PA261TC,29,True,,A question associated with the PROMIS-29 Profile Version 2.1 questionnaire.,,Intellectual Product,,CL1935182,
C127366,PROSQOLI Questionnaire Question,PROS01TC,10,True,,A question associated with the PROSQOLI questionnaire.,,Intellectual Product,,CL508941,
C138264,PUL 1.2 Functional Test Question,PUL01TC,32,True,,A question associated with the PUL 1.2 functional test.,,Intellectual Product,,CL525763,
C138265,PUL 2.0 Functional Test Question,PUL02TC,32,True,,A question associated with the PUL 2.0 functional test.,,Intellectual Product,,CL525762,
C150796,Paced Tapping Functional Test Question,PTAP1TC,46,True,,A question associated with the Paced Tapping functional test.,,Intellectual Product,,CL552655,
C147555,Peds-FACIT-F Questionnaire Question,FAC099TC,13,True,,A question associated with the Peds-FACIT-F questionnaire.,,Intellectual Product,,CL545405,
C138269,PedsQL Neuromuscular Module Acute Version 3.0 Child Report Questionnaire Question,PQL14TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Child Report questionnaire.,,Intellectual Product,,CL525766,
C138271,PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Child Questionnaire Question,PQL15TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Child questionnaire.,,Intellectual Product,,CL525764,
C138272,PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Teen Questionnaire Question,PQL13TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Teen questionnaire.,,Intellectual Product,,CL525771,
C138273,PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Young Adults Questionnaire Question,PQL11TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Young Adults questionnaire.,,Intellectual Product,,CL525770,
C138274,PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Young Child Questionnaire Question,PQL17TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Parent Report for Young Child questionnaire.,,Intellectual Product,,CL525769,
C138270,PedsQL Neuromuscular Module Acute Version 3.0 Parent of Toddler Questionnaire Question,PQL18TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Parent of Toddler questionnaire.,,Intellectual Product,,CL525765,
C138275,PedsQL Neuromuscular Module Acute Version 3.0 Teen Report Questionnaire Question,PQL12TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Teen Report questionnaire.,,Intellectual Product,,CL525768,
C138276,PedsQL Neuromuscular Module Acute Version 3.0 Young Adult Report Questionnaire Question,PQL10TC,25,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Young Adult Report questionnaire.,,Intellectual Product,,CL525743,
C138277,PedsQL Neuromuscular Module Acute Version 3.0 Young Child Report Questionnaire Question,PQL16TC,17,True,,A question associated with the PedsQL Neuromuscular Module Acute Version 3.0 Young Child Report questionnaire.,,Intellectual Product,,CL525742,
C138278,PedsQL Neuromuscular Module Version 3.0 Child Report Questionnaire Question,PQL05TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Child Report questionnaire.,,Intellectual Product,,CL525741,
C138280,PedsQL Neuromuscular Module Version 3.0 Parent Report for Child Questionnaire Question,PQL06TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Parent Report for Child questionnaire.,,Intellectual Product,,CL525747,
C138281,PedsQL Neuromuscular Module Version 3.0 Parent Report for Teen Questionnaire Question,PQL04TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Parent Report for Teen questionnaire.,,Intellectual Product,,CL525746,
C138282,PedsQL Neuromuscular Module Version 3.0 Parent Report for Young Adults Report Questionnaire Question,PQL02TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Parent Report for Young Adults Report questionnaire.,,Intellectual Product,,CL525745,
C138283,PedsQL Neuromuscular Module Version 3.0 Parent Report for Young Child Questionnaire Question,PQL08TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Parent Report for Young Child questionnaire.,,Intellectual Product,,CL525744,
C138279,PedsQL Neuromuscular Module Version 3.0 Parent of Toddler Questionnaire Question,PQL09TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Parent of Toddler questionnaire.,,Intellectual Product,,CL525740,
C138284,PedsQL Neuromuscular Module Version 3.0 Teen Report Questionnaire Question,PQL03TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Teen Report questionnaire.,,Intellectual Product,,CL525751,
C138285,PedsQL Neuromuscular Module Version 3.0 Young Adult Report Questionnaire Question,PQL01TC,25,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Young Adult Report questionnaire.,,Intellectual Product,,CL525750,
C138286,PedsQL Neuromuscular Module Version 3.0 Young Child Report Questionnaire Question,PQL07TC,17,True,,A question associated with the PedsQL Neuromuscular Module Version 3.0 Young Child Report questionnaire.,,Intellectual Product,,CL525749,
C204238,Penn State Electronic Cigarette Dependence Index Questionnaire Question,PSECD1TC,11,True,,A question associated with the Penn State Electronic Cigarette Dependence Index questionnaire.,,Intellectual Product,,CL1926770,
C204237,Perianal Crohn's Disease Activity Index Questionnaire Question,PDAI01TC,6,True,,A question associated with the Perianal Crohn's Disease Activity Index questionnaire.,,Intellectual Product,,CL1926771,
C190949,Psoriasis Area and Severity Index Bozek Version Clinical Classification Question,PASI05TC,29,True,,A question associated with the Psoriasis Area and Severity Index Bozek Version clinical classification.,,Intellectual Product,,CL1799544,
C190948,Psoriasis Area and Severity Index European Medical Agency Version Clinical Classification Question,PASI04TC,29,True,,A question associated with the Psoriasis Area and Severity Index European Medical Agency Version clinical classification.,,Intellectual Product,,CL1799543,
C190947,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification Question,PASI03TC,29,True,,A question associated with the Psoriasis Area and Severity Index Fredriksson Version clinical classification.,,Intellectual Product,,CL1799542,
C130295,Q-LES-Q Questionnaire Question,QLES1TC,101,True,,A question associated with the Q-LES-Q questionnaire.,,Intellectual Product,,CL513291,
C130296,Q-LES-Q-SF Questionnaire Question,QLES2TC,16,True,,A question associated with the Q-LES-Q-SF questionnaire.,,Intellectual Product,,CL513308,
C130287,QIDS-C Clinical Classification Question,QIDSC1TC,20,True,,A question associated with the QIDS-C clinical classification.,,Intellectual Product,,CL513329,
C130294,QIDS-SR Questionnaire Question,QIDSR1TC,20,True,,A question associated with the QIDS-SR questionnaire.,,Intellectual Product,,CL513350,
C135712,RAND Social Support Survey Questionnaire Question,RSSS01TC,19,True,,A question associated with the RAND Social Support Survey questionnaire.,,Intellectual Product,,CL523031,
C113871,RAND-36 Questionnaire Question,R3601TC,36,True,,A question associated with the RAND-36 questionnaire.,,Intellectual Product,C3828378,,
C171414,RASS Clinical Classification Question,RASS01TC,1,True,,A question associated with the RASS clinical classification.,,Intellectual Product,,CL1405509,
C100123,RDQ Questionnaire Question,RDQ01TC,25,True,,A question associated with the RDQ questionnaire.,,Intellectual Product,C3639112,,
C166194,RFWT Version 1 Functional Test Question,ROCK01TC,1,True,,A question associated with the RFWT Version 1 functional test.,,Intellectual Product,,CL971454,
C119087,RPQ Questionnaire Question,RPQ01TC,20,True,,A question associated with the RPQ questionnaire.,,Intellectual Product,C3897783,,
C124694,Reynolds CVD 10-Year Risk Score Clinical Classification Question,RCVD01TC,1,True,,A question associated with the Reynolds CVD 10-Year Risk Score clinical classification.,,Intellectual Product,C4086831,,
C141677,Rising From Floor Functional Test Question,RISEF1TC,4,True,,A question associated with the Rising From Floor functional test.,,Intellectual Product,,CL539765,
C190946,Rutgeerts Score Clinical Classification Question,RUTG01TC,1,True,,A question associated with the Rutgeerts Score clinical classification.,,Intellectual Product,,CL1799541,
C171415,SAS Clinical Classification Question,SAS01TC,1,True,,A question associated with the SAS clinical classification.,,Intellectual Product,,CL1405508,
C115413,SDMT Functional Test Question,SDMT01TC,1,True,,A question associated with the SDMT functional test.,,Intellectual Product,C3897114,,
C111358,SDS Questionnaire Question,SDS01TC,6,True,,A question associated with the SDS questionnaire.,,Intellectual Product,C3828207,,
C176054,SES-CD Version 1 Clinical Classification Question,SES01TC,31,True,,A question associated with the SES-CD Version 1 clinical classification.,,Intellectual Product,,CL1413458,
C177699,SF10 v1.0 Children Acute Questionnaire Question,SF102TC,10,True,,A question associated with the SF10 v1.0 Children Acute questionnaire.,,Intellectual Product,,CL1643363,
C177700,SF10 v1.0 Children Standard Questionnaire Question,SF101TC,10,True,,A question associated with the SF10 v1.0 Children Standard questionnaire.,,Intellectual Product,,CL1643362,
C177701,SF12 v1.0 Acute Questionnaire Question,SF122TC,15,True,,A question associated with the SF12 v1.0 Acute questionnaire.,,Intellectual Product,,CL1643365,
C177702,SF12 v1.0 Standard Questionnaire Question,SF121TC,15,True,,A question associated with the SF12 v1.0 Standard questionnaire.,,Intellectual Product,,CL1643364,
C177703,SF12 v2.0 Acute Questionnaire Question,SF124TC,31,True,,A question associated with the SF12 v2.0 Acute questionnaire.,,Intellectual Product,,CL1643367,
C177704,SF12 v2.0 Standard Questionnaire Question,SF123TC,31,True,,A question associated with the SF12 v2.0 Standard questionnaire.,,Intellectual Product,,CL1643366,
C101878,SF36 v1 0 Acute Questionnaire Question,SF362TC,57,True,,A question associated with the SF36 v1.0 Acute questionnaire.,,Intellectual Product,C3640283,,
C100171,SF36 v1.0 Standard Questionnaire Question,SF361TC,57,True,,A question associated with the SF36 v1.0 questionnaire.,,Intellectual Product,C3639158,,
C101880,SF36 v2 0 Acute Questionnaire Question,SF364TC,62,True,,A question associated with the SF36 v2.0 Acute questionnaire.,,Intellectual Product,C3640285,,
C101879,SF36 v2 0 Standard Questionnaire Question,SF363TC,62,True,,A question associated with the SF36 v2.0 Standard questionnaire.,,Intellectual Product,C3640284,,
C185743,SF6D Version 2.0 Acute Questionnaire Question,SF6D2TC,10,True,,A question associated with the SF6D Version 2.0 Acute questionnaire.,,Intellectual Product,,CL1778337,
C185744,SF6D Version 2.0 Standard Questionnaire Question,SF6D1TC,10,True,,A question associated with the SF6D Version 2.0 Standard questionnaire.,,Intellectual Product,,CL1778338,
C177697,SF8 v1.0 Acute Questionnaire Question,SF82TC,18,True,,A question associated with the SF8 v1.0 Acute questionnaire.,,Intellectual Product,,CL1643361,
C177698,SF8 v1.0 Standard Questionnaire Question,SF81TC,18,True,,A question associated with the SF8 v1.0 Standard questionnaire.,,Intellectual Product,,CL1643360,
C106682,SGRQ-C Questionnaire Question,SGRQC1TC,41,True,,A question associated with the SGRQ-C questionnaire.,,Intellectual Product,C3828155,,
C150805,SIQ Questionnaire Question,SIQ01TC,43,True,,A question associated with the SIQ questionnaire.,,Intellectual Product,,CL552664,
C150806,SIQ-JR Questionnaire Question,SIQ02TC,26,True,,A question associated with the SIQ-JR questionnaire.,,Intellectual Product,,CL552665,
C103503,SIQR Questionnaire Question,SIQR01TC,21,True,,A question associated with the SIQR questionnaire.,,Intellectual Product,C3641317,,
C154463,SMDDS Version 1.0 Questionnaire Question,SMDDS1TC,26,True,,A question associated with the SMDDS Version 1.0 questionnaire.,,Intellectual Product,,CL555391,
C100125,SOAPP-R Questionnaire Question,SOAPR1TC,26,True,,A question associated with the SOAPP-R questionnaire.,,Intellectual Product,C3639114,,
C103504,SOWS Short Questionnaire Question,,10,False,,A question associated with the SOWS Short questionnaire.,,Intellectual Product,C3641318,,
C101881,SOWS Subjective Questionnaire Question,SOWSA1TC,16,True,,A question associated with the SOWS questionnaire.,,Intellectual Product,C3640286,,
C170532,SPPB Version 1.2 Functional Test Question,SPPB1TC,35,True,,A question associated with the SPPB Version 1.2 functional test.,,Intellectual Product,,CL1382958,
C115419,SWLS Questionnaire Question,SWLS01TC,5,True,,A question associated with the SWLS questionnaire.,,Intellectual Product,C3897662,,
C204239,Sepsis-related Organ Failure Assessment 27th March 2024 Version Clinical Classification Question,SOFA01TC,7,True,,A question associated with the Sepsis-related Organ Failure Assessment 27th March 2024 Version clinical classification.,,Intellectual Product,,CL1926769,
C100124,Short-Form MPQ-2 Questionnaire Question,SFMP2TC,22,True,,A question associated with the Short-Form MPQ-2 questionnaire.,,Intellectual Product,C3639113,,
C112463,St George's Respiratory Questionnaire Past 3 Months Version Questionnaire Question,SGRQ01TC,51,True,,A question associated with the SGRQ Past 3 Months Version questionnaire.,,Intellectual Product,C3827934,,
C112464,St George's Respiratory Questionnaire Past 4 Weeks Version Questionnaire Question,SGRQ02TC,51,True,,A question associated with the SGRQ Past 4 Weeks Version questionnaire.,,Intellectual Product,C3827933,,
C187460,Stanford Sleepiness Scale Questionnaire Question,SSS01TC,1,True,,A question associated with the Stanford Sleepiness Scale questionnaire.,,Intellectual Product,,CL1792137,
C161630,T1-DDS Questionnaire Question,DDS01TC,36,True,,A question associated with the T1-DDS questionnaire.,,Intellectual Product,,CL970326,
C115414,T25FW Functional Test Question,T25FW1TC,4,True,,A question associated with the T25FW functional test.,,Intellectual Product,C3897395,,
C106675,TDI Clinical Classification Question,TDI01TC,4,True,,A question associated with the TDI questionnaire.,,Intellectual Product,C3827850,,
C119088,TIMI Thrombus Grade Clinical Classification Question,TIMG01TC,1,True,,A question associated with the TIMI Thrombus Grade clinical classification.,,Intellectual Product,C3897386,,
C124702,TMT Functional Test Question,TMT01TC,2,True,,A question associated with the TMT functional test.,,Intellectual Product,C4087090,,
