ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C113867,BWCS Questionnaire Question,BWCS01TC,5,True,,A question associated with the BWCS questionnaire.,,Intellectual Product,C3831233,,
C113863,Borg CR10 Questionnaire Question,BCR101TC,1,True,,A question associated with the Borg CR10 questionnaire.,,Intellectual Product,C3831315,,
C199506,Brief Questionnaire of Smoking Urges Questionnaire Question,QSUB01TC,13,True,,A question associated with the Brief Questionnaire of Smoking Urges.,,Intellectual Product,,CL1906871,
C106676,C-SSRS Already Enrolled Subjects Questionnaire Question,CSS05TC,62,True,,A question associated with the C-SSRS Already Enrolled Subjects questionnaire.,,Intellectual Product,C3830916,,
C100113,C-SSRS Baseline Questionnaire Question,CSS01TC,39,True,,A question associated with the C-SSRS Baseline questionnaire.,,Intellectual Product,C3639103,,
C105141,C-SSRS Baseline/Screening Version Phase 1 Study Version 1/14/09 Questionnaire Question,CSS03TC,51,True,,A question associated with the C-SSRS Baseline/Screening Version Phase 1 Study version 1/14/09 questionnaire.,,Intellectual Product,C3641937,,
C106677,C-SSRS Baseline/Screening Version Questionnaire Question,CSS04TC,60,True,,A question associated with the C-SSRS Baseline/Screening Version questionnaire.,,Intellectual Product,C3830855,,
C111351,C-SSRS Children's Baseline Questionnaire Question,CSS06TC,37,True,,A question associated with the C-SSRS Children's Baseline questionnaire.,,Intellectual Product,C3830814,,
C111352,C-SSRS Children's Baseline/Screening Questionnaire Question,CSS07TC,43,True,,A question associated with the C-SSRS Children's Baseline/Screening questionnaire.,,Intellectual Product,C3830774,,
C111353,C-SSRS Children's Since Last Visit Questionnaire Question,CSS08TC,32,True,,A question associated with the C-SSRS Children's Since Last Visit questionnaire.,,Intellectual Product,C3830738,,
C117993,C-SSRS Lifetime/Recent Version Questionnaire Question,CSS11TC,60,True,,A question associated with the C-SSRS Lifetime/Recent Version questionnaire.,,Intellectual Product,C3899845,,
C113864,C-SSRS Pediatric Cognitively Impaired Lifetime Recent Questionnaire Question,CSS10TC,55,True,,A question associated with the C-SSRS Pediatric Cognitively Impaired Lifetime Recent questionnaire.,,Intellectual Product,C3830684,,
C111354,C-SSRS Screening Questionnaire Question,CSS09TC,39,True,,A question associated with the C-SSRS Screening questionnaire.,,Intellectual Product,C3830641,,
C103491,C-SSRS Since Last Visit Questionnaire Question,CSS02TC,34,True,,A question associated with the C-SSRS Since Last Visit questionnaire.,,Intellectual Product,C3641306,,
C119084,CCQ 1 Week Version Questionnaire Question,CCQ02TC,10,True,,A question associated with the CCQ 1 Week Version questionnaire.,,Intellectual Product,C3899829,,
C119083,CCQ 24 Hour Version Questionnaire Question,CCQ01TC,10,True,,A question associated with the CCQ 24 Hour Version questionnaire.,,Intellectual Product,C3899819,,
C176053,CDAI Version 1 Questionnaire Question,CDAI01TC,23,True,,A question associated with the CDAI Version 1 questionnaire.,,Intellectual Product,,CL1413461,
C124701,CDC Classification System for HIV-Infected Adults and Adolescents Clinical Classification Question,CHIVC1TC,1,True,,A question associated with the CDC Classification System for HIV-Infected Adults and Adolescents clinical classification.,,Intellectual Product,C4086046,,
C101872,CDR Clinical Classification Question,CDR01TC,8,True,,A question associated with the CDR clinical classification.,,Intellectual Product,C3640278,,
