TESTCD,TEST,NCIt_Code,COSMoS_BC_ID,BC_Name,BC_Type,DS_Code,DS_Name,COSMoS_Category,Domain,Domain_Class,Result_Scale,Method,Method_NCIt,Allowed_Units,Standard_Unit,location,laterality,evaluator
HTAPCTL,Height-for-Age Percentile,C163568,C163568,Height-for-Age Percentile,full,HTAPCTL,Height-for-Age Percentile,,VS,Findings,Quantitative,,,,,,,
HIPCIR,Hip Circumference,C100947,C100947,Hip Circumference,full,HIPCIR,Hip Circumference,,VS,Findings,Quantitative,,,cm; in; mm,,,,
IDEALWT,Ideal Body Weight,C117976,C117976,Ideal Body Weight,full,IDEALWT,Ideal Body Weight,,VS,Findings,Quantitative,,,g; kg; LB,,,,
KNEEHEEL,Knee to Heel Length,C84372,C84372,Knee to Heel Length Measurement,full,KNEEHEEL,Knee to Heel Length,,VS,Findings,Quantitative,,,cm; in; mm,,,,
LBM,Lean Body Mass,C71258,C71258,Lean Body Mass,full,LBM,Lean Body Mass,,VS,Findings,Quantitative,,,g; kg; LB,,,,
LBMTBMR,Lean Body Mass to Total Body Mass Ratio,C139219,C139219,Lean Body Mass to Total Body Mass Ratio,full,LBMTBMR,Lean Body Mass to Total Body Mass Ratio,,VS,Findings,Quantitative,,,RATIO,,,,
LTM,Lean Tissue Mass,C199997,C199997,Lean Tissue Mass Measurement,full,LTM,Lean Tissue Mass,,VS,Findings,Quantitative,,,g; kg; LB,,,,
MANDL,Mandibular Length,C174233,C174233,Mandibular Length,full,MANDL,Mandibular Length,,VS,Findings,Quantitative,,,cm; in; mm,,,,
MAXPREHR,Maximum Predicted Heart Rate,C147492,C147492,Maximum Predicted Heart Rate,full,MAXPREHR,Maximum Predicted Heart Rate,,VS,Findings,Quantitative,,,beats/min,,,,
MAP,Mean Arterial Pressure,C49679,C49679,Mean Arterial Pressure,full,MAP,Mean Arterial Pressure,,VS,Findings,Quantitative,,,mmHg,,,,
MUARMCIR,Mid-Upper Arm Circumference,C124475,C124475,Mid-Upper Arm Circumference,full,MUARMCIR,Mid-Upper Arm Circumference,,VS,Findings,Quantitative,,,cm; in; mm,,,,
NECKCIR,Neck Circumference,C154891,C154891,Neck Circumference,full,NECKCIR,Neck Circumference,,VS,Findings,Quantitative,,,cm; in; mm,,,,
SAO2FIO2,Oxygen Saturation/Fraction Inspired O2,C174311,C174311,Oxygen Saturation/Fraction Inspired O2,full,SAO2FIO2,Oxygen Saturation/Fraction Inspired O2,,VS,Findings,Quantitative,,,%; RATIO,,,,
TEMPPB,Peripheral Body Temperature,C174371,C174371,Peripheral Body Temperature,full,TEMPPB,Peripheral Body Temperature,,VS,Findings,Quantitative,,,C; F,,RECTUM;AXILLA;EAR;FOREHEAD;SUBLINGUAL REGION,,
PULSEPR,Pulse Pressure,C100945,C100945,Pulse Pressure,full,PULSEPR,Pulse Pressure,,VS,Findings,Quantitative,,,mmHg,,,,
SAD,Sagittal Abdominal Diameter,C87054,C87054,Sagittal Abdominal Diameter,full,SAD,Sagittal Abdominal Diameter,,VS,Findings,Quantitative,,,cm; in; mm,,,,
SSSKNF,Subscapular Skinfold Thickness,C98785,C98785,Subscapular Skinfold Thickness,full,SSSKNF,Subscapular Skinfold Thickness,,VS,Findings,Quantitative,,,cm; in; mm,,,,
SBPAPCTL,Systolic BP-for-Age Percentile,C172608,C172608,Systolic Blood Pressure-for-Age Percentile,full,SBPAPCTL,Systolic BP-for-Age Percentile,,VS,Findings,Quantitative,,,,,,,
SBPHPCTL,Systolic BP-for-Height Percentile,C172607,C172607,Systolic Blood Pressure-for-Height Percentile,full,SBPHPCTL,Systolic BP-for-Height Percentile,,VS,Findings,Quantitative,,,,,,,
TIBIAL,Tibial Length,C191365,C191365,Tibial Length,full,TIBIAL,Tibial Length,,VS,Findings,Quantitative,,,cm; in; mm,,,,
BODLNGTH,Body Length,C81298,C81298,Total Body Length,full,BODLNGTH,Body Length,,VS,Findings,Quantitative,,,cm; in; mm,,,,
TBW,Total Body Water,C104622,C104622,Total Body Water Measurement,full,TBW,Total Body Water,,VS,Findings,Quantitative,,,L; dL,,,,
TRSKNF,Triceps Skinfold Thickness,C98793,C98793,Triceps Skinfold Thickness,full,TRSKNF,Triceps Skinfold Thickness,,VS,Findings,Quantitative,,,cm; in; mm,,,,
ULNARL,Ulnar Length,C174376,C174376,Ulnar Length,full,ULNARL,Ulnar Length,,VS,Findings,Quantitative,,,cm; in; mm,,,,
WASTHEEL,Waist to Heel Length,C181552,C181552,Waist to Heel Length,full,WASTHEEL,Waist to Heel Length,,VS,Findings,Quantitative,,,cm; ft; in; m,,,,
WAISTHIP,Waist to Hip Ratio,C17651,C17651,Waist-Hip Ratio,full,WAISTHIP,Waist to Hip Ratio,,VS,Findings,Quantitative,,,RATIO,,,,
WTAPCTL,Weight-for-Age Percentile,C163569,C163569,Weight-for-Age Percentile,full,WTAPCTL,Weight-for-Age Percentile,,VS,Findings,Quantitative,,,,,,,
WTHTPCTL,Weight-for-Height Percentile,C163570,C163570,Weight-for-Height Percentile,full,WTHTPCTL,Weight-for-Height Percentile,,VS,Findings,Quantitative,,,,,,,
