COSMoS_BC_ID,DS_Code,column,old,new
C60832,OXYSAT,Hierarchy_Path,Diagnostic Procedure,Body Organ or System Test
C60832,OXYSAT,Parent_Label,Diagnostic Procedure,Body Organ or System Test
C60832,OXYSAT,Domains_with_DS,VS,RE; VS
C74761,ALBCREATURIN,BC_Name,Albumin To Creatinine Protein Ratio Measurement,Albumin to Creatinine Ratio Measurement
C74761,ALBCREATURIN,BC_Definition,The determination of the ratio of albumin compared to creatinine protein present in a urine sample. The measurement may be expressed as a ratio or percentage.,The determination of the ratio of albumin compared to creatinine present in a sample. The measurement may be expressed as a ratio or percentage.
C74761,ALBCREATURIN,Categories,Chemistry Tests; Laboratory Tests; Ratio Measurements; Urine Protein Measurement,Chemistry Tests; Laboratory Tests; Ratio Measurements
C74761,ALBCREATURIN,Hierarchy_Path,Urine Protein Measurement,Chemistry Test > Liver Function Test > Albumin Measurement
C74761,ALBCREATURIN,Parent_Label,Urine Protein Measurement,Albumin Measurement
C74761,ALBCREATURIN,LOINC_Code_Count,3.0,1.0
C74761,ALBCREATURIN,LOINC_Code,9318-7; 14585-4; 32294-1,14959-1
C82554,,BC_Synonyms,,flowRate;FLRT
C82554,,Categories,Clinical Test Result; Findings,Clinical Test Result; Findings; Respiratory System Findings
C82624,,Categories,Chemistry Tests; Gas Measurements; Laboratory Tests,Chemistry Tests; Gas Measurements; Laboratory Tests; Respiratory System Findings
C94866,URBLR,Categories,Clinical Test Result; Findings; Renal Function Tests; Urinary System Findings,Clinical Test Result; Findings; Renal Function Tests; Respiratory System Findings; Urinary System Findings
C94866,URBLR,Domains_with_DS,UR,RE; UR
C94866,URBLR,Decimal_Places,6.0,7.0
