COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C76325,C76325,Birth Weight,The first weight of a newborn obtained after birth.,BRTHWT,full,Subject,BRTHWT,Birth Weight,C76325,Body Measurements; Vital Signs,Weight,Weight,DSS,VS,BRTHWT,Birth Weight,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB; oz,,,,3.0,,,
C94866,C94866,Blood Flow Rate,"The volume of blood per unit time passing through a specified location, such as a point in a blood vessel or an entire organ. Units are ml/sec.",Blood Flow Rate;BLDFLRT,full,Subject,BLDFLRT,Blood Flow Rate,C94866,Clinical Test Result; Findings; Renal Function Tests; Respiratory System Findings; Urinary System Findings,Flow Rate,Flow Rate,DSS,RE; UR,BLDFLRT_RE,Blood Flow Rate (RE),RE,Findings,Quantitative,,,,,0.0,,cm/s,cm/s,,,7.0,,,
C199996,C199996,Body Cell Mass Measurement,An estimated measurement of the total mass of metabolically active cells in the body.,BCM;Body Cell Mass,full,Subject,BCM,Body Cell Mass,C199996,Mass Measurement; Vital Signs,Mass Measurement,Mass Measurement,DSS,VS,BCM,Body Cell Mass,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
C122232,C122232,Body Fat Measurement,A measurement of the total fat mass within the subject's body.,BODYFATM,full,Subject,BODYFATM,Body Fat Measurement,C122232,Body Measurements; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,BODYFATM,Body Fat Measurement,VS,Findings,Quantitative,,,,,0.0,,%,,,,3.0,,,
C205752,C205752,Body Length-for-Age Percentile,"A measurement of an individual's body length in relationship to age, in comparison to a reference percentile curve.",BLAPCTL,full,Subject,BLAPCTL,Body Length-for-Age Percentile,C205752,Body Measurements; Vital Signs,,,DSS,VS,BLAPCTL,Body Length-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C215116,C215116,Body Organ or System Test,Assessment of a body organ or a body system to find irregularities or dysfunction.,,hierarchy_only,Subject,,,,Respiratory System Findings,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C25157,C25157,Body Surface Area,"A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.",BSA,full,Subject,BSA,Body Surface Area,C25157,Body Measurements; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,BSA,Body Surface Area,VS,Findings,Quantitative,,,,,0.0,,m2,,,,3.0,,,
C164325,C164325,Body Temperature Measurement,The result of the measurement of the body temperature.,Vital Signs - Body Temperature,hierarchy_only,Subject,,,,Temperature; Vital Signs,Physical Examination Finding,Physical Examination Finding,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C178060,C178060,Calf Circumference,A circumferential measurement of the lower leg in the region of the calf at the widest point.,CALFCIR,full,Subject,CALFCIR,Calf Circumference,C178060,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,CALFCIR,Calf Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C168125,C168125,Capillary Refill Test,An assessment performed to estimate peripheral perfusion and hydration status. The test is most often conducted by applying constant manual pressure for a set time on a patient's nail bed and then releasing while observing the length of time it takes for color to return to the tissue. A prolonged return to baseline coloring may indicate compromise of peripheral blood flow.,Capillary Refill Time;CPLRFLT,full,Subject,CPLRFLT,Capillary Refill Time,C168125,Cardiovascular Examination; Vital Signs,Cardiovascular Examination,Cardiovascular Examination,DSS,VS,CPLRFLT,Capillary Refill Time,VS,Findings,Quantitative,,,,,0.0,,s,,,,3.0,,,
C38083,C38083,Carbon Monoxide Diffusing Capability Test,"A measurement of carbon monoxide (CO) transfer from inspired gas to pulmonary capillary blood. During the test, the subject inspires a gas containing CO and one or more tracer gases to allow determination of the gas exchanging capability of the lungs.",Diffusion Capacity of Lung for CO;DLCO;TLCO;Transfer Factor of Lung for CO;Diffusion Capacity of the Lung for Carbon Monoxide;PFT/DLCO;Pulmonary Function Test/Carbon Monoxide Diffusing Capability,full,Subject,DLCO,Diffusion Capacity of Lung for CO,C38083,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCO_RE,Diffusion Capacity of Lung for CO (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C16094,C16094,Cardiac Function Study,"The study and analysis of the normal or abnormal functioning of the heart using methods such as echocardiography, exercise stress cardiography, 24-hour Holter EKG and magnetic resonance imaging.",,hierarchy_only,Subject,,,,Cardiac Function Study,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C122008,C122008,Cardiovascular Examination,Tests and assessments pertaining to the cardiovascular system.,Cardiac Examination,hierarchy_only,Subject,,,,Cardiovascular Examination,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C156606,C156606,Chest Circumference,A circumferential measurement of the chest.,CHESTCIR,full,Subject,CHESTCIR,Chest Circumference,C156606,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,CHESTCIR,Chest Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C119797,C119797,Clinical Observations Category,A classification of clinical observation data.,CLCAT,hierarchy_only,Subject,,,,Clinical Observations,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C174370,C174370,Core Body Temperature,A measurement of the temperature within the deep tissues of the body.,TEMPCB,full,Subject,TEMPCB,Core Body Temperature,C174370,Temperature; Vital Signs,Physical Examination Finding > Body Temperature Measurement,Body Temperature Measurement,DSS,VS,TEMPCB,Core Body Temperature,VS,Findings,Quantitative,,,,,0.0,,C; F,,,,4.0,TYMPANIC MEMBRANE;NASOPHARYNX;ESOPHAGUS;PULMONARY ARTERY BRANCH;SUBLINGUAL REGION;RECTUM,,
C25747,C25747,Creatinine Clearance,"The determination of the clearance of endogenous creatinine, used for evaluating the glomerular filtration rate.",CREATCLR,full,Subject,CREATCLR,Creatinine Clearance,C25747,Chemistry Tests; Clearance Rates; Creatinine Measurements; Laboratory Tests,Chemistry Test > Creatinine Measurement,Creatinine Measurement,DSS,LB,CREATCLRSERPL,Creatinine Clearance in Serum or Plasma,LB,Findings,Quantitative,SERUM OR PLASMA,C105706,,,0.0,,mL/min; mL/s,mL/s,CHEMISTRY,,6.0,,,
C170639,C170639,Crown to Heel Length,A measurement of the length of the body from the crown of the head to the bottom of the heel.,Crown-to-Heel Length;CRWNHEEL,full,Subject,CRWNHEEL,Crown-to-Heel Length,C170639,Body Measurements; Vital Signs,Length,Length,DSS,VS,CRWNHEEL,Crown-to-Heel Length,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C19591,C19591,Diagnostic Factor,"A biological, physiological, behavioral, or molecular indicator of the presence or predisposition towards development of a specific disease.",Diagnostic Marker,hierarchy_only,Subject,,,,Diagnostic Factor,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
